Post_Link,Posted_Title,Posted_Date,Brand,Model,Grade,Trim / Edition,Year of Manufacture,Condition,Transmission,Body type,Fuel type,Engine capacity,Mileage,Vehicle_Price
https://ikman.lk/en/ad/honda-vezel-2014-for-sale-gampaha-2285,Honda Vezel 2014,"Posted on 03 Jun 9:08 am, Kadawatha, Gampaha542views",Honda,Vezel,0,0,2014,Used,Automatic,SUV / 4x4,Hybrid,"1,500 cc","102,000 km","Rs 10,400,000"
https://ikman.lk/en/ad/honda-vezel-z-play-2023-for-sale-gampaha-1,Honda Vezel Z PLAY 2023,"Posted on 25 May 4:58 pm, Negombo, Gampaha1077views",Honda,Vezel,0,Z PLAY,2023,Reconditioned,Automatic,SUV / 4x4,Hybrid,"1,500 cc","7,000 km","Rs 23,800,000"
https://ikman.lk/en/ad/honda-grace-2015-for-sale-gampaha-412,Honda Grace 2015,"Posted on 27 May 7:07 am, Ja-Ela, Gampaha566views",Honda,Grace,0,2015,2015,Used,Automatic,Saloon,Hybrid,"1,500 cc","185,000 km","Rs 10,500,000"
https://ikman.lk/en/ad/honda-vezel-rs-sensing-2017-for-sale-colombo-2498,Honda Vezel RS Sensing 2017,"Posted on 05 Jun 9:57 am, Avissawella, Colombo2904views",Honda,Vezel,0,RS Sensing,2017,Used,Automatic,SUV / 4x4,Hybrid,"1,500 cc","112,000 km","Rs 13,600,000"
https://ikman.lk/en/ad/honda-vezel-rs-sensing-2018-for-sale-colombo-745,Honda Vezel RS Sensing 2018,"Posted on 05 Jun 1:17 pm, Dehiwala, Colombo1438views",Honda,Vezel,0,RS Sensing,2018,Used,Automatic,SUV / 4x4,Hybrid,"1,500 cc","53,600 km","Rs 15,000,000"
https://ikman.lk/en/ad/honda-vezel-z-play-2024-for-sale-gampaha-3,Honda Vezel Z PLAY 2024,"Posted on 25 May 6:26 pm, Negombo, Gampaha853views",Honda,Vezel,0,Z PLAY ,2024,New,Automatic,SUV / 4x4,Hybrid,"1,500 cc",0 km,"Rs 25,000,000"
https://ikman.lk/en/ad/honda-vezel-z-play-2024-for-sale-gampaha-4,Honda Vezel Z PLAY 2024,"Posted on 25 May 6:26 pm, Negombo, Gampaha594views",Honda,Vezel,0,Z PLAY,2024,New,Automatic,SUV / 4x4,Hybrid,"1,500 cc",5 km,"Rs 25,000,000"
https://ikman.lk/en/ad/honda-vezel-rs-sensing-2018-for-sale-gampaha-98,Honda Vezel RS Sensing 2018,"Posted on 26 May 9:02 am, Negombo, Gampaha1567views",Honda,Vezel,0,RS Sensing,2018,Used,Automatic,SUV / 4x4,Hybrid,"1,500 cc","76,000 km","Rs 14,250,000"
https://ikman.lk/en/ad/honda-fit-shuttle-2013-for-sale-gampaha-833,Honda Fit Shuttle 2013,"Posted on 23 May 11:18 am, Negombo, Gampaha1255views",Honda,Fit Shuttle,0,0,2013,Used,Automatic,Station wagon,Hybrid,"1,330 cc","50,000 km","Rs 9,850,000"
https://ikman.lk/en/ad/honda-vezel-rs-sensing-2017-for-sale-galle-11,Honda Vezel Rs Sensing 2017,"Posted on 24 May 12:59 pm, Ambalangoda, Galle875views",Honda,Vezel,0,Rs Sensing,2017,Used,Automatic,SUV / 4x4,Hybrid,"1,500 cc","104,000 km","Rs 13,500,000"
https://ikman.lk/en/ad/honda-vezel-z-premium-play-2024-for-sale-ampara,Honda Vezel Z premium play 2024,"Posted on 22 May 2:51 pm, Kalmunai, Ampara866views",Honda,Vezel,0,Z premium play,2024,Reconditioned,Automatic,Saloon,Hybrid,"1,500 cc","2,000 km","Rs 22,500,000"
