brand,model,Trim / Edition,year,Transmission,Body type,fuel_type,Engine capacity,Mileage,vehicle_price
HONDA,VEZEL,0,2014,AUTOMATIC,SUV / 4X4,HYBRID,1500,102000,10400000
HONDA,VEZEL,Z PLAY,2023,AUTOMATIC,SUV / 4X4,HYBRID,1500,7000,23800000
HONDA,GRACE,2015,2015,AUTOMATIC,SALOON,HYBRID,1500,185000,10500000
HONDA,VEZEL,RS SENSING,2017,AUTOMATIC,SUV / 4X4,HYBRID,1500,112000,13600000
HONDA,VEZEL,RS SENSING,2018,AUTOMATIC,SUV / 4X4,HYBRID,1500,53600,15000000
HONDA,VEZEL,Z PLAY ,2024,AUTOMATIC,SUV / 4X4,HYBRID,1500,0,25000000
HONDA,VEZEL,Z PLAY,2024,AUTOMATIC,SUV / 4X4,HYBRID,1500,5,25000000
HONDA,VEZEL,RS SENSING,2018,AUTOMATIC,SUV / 4X4,HYBRID,1500,76000,14250000
HONDA,FIT SHUTTLE,0,2013,AUTOMATIC,STATION WAGON,HYBRID,1330,50000,9850000
HONDA,VEZEL,RS SENSING,2017,AUTOMATIC,SUV / 4X4,HYBRID,1500,104000,13500000
HONDA,VEZEL,Z PREMIUM PLAY,2024,AUTOMATIC,SALOON,HYBRID,1500,2000,22500000
HONDA,VEZEL,Z PREMIUM 2023,2023,AUTOMATIC,0,HYBRID,1500,7500,21650000
HONDA,VEZEL,Z PREMIUM,2025,AUTOMATIC,SUV / 4X4,HYBRID,1500,10,22950000
HONDA,VEZEL,E:HEV X PACKAGE,2024,AUTOMATIC,SUV / 4X4,HYBRID,1500,19,17800000
HONDA,VEZEL,2024,2024,AUTOMATIC,HATCHBACK,HYBRID,1500,10000,19200000
HONDA,VEZEL,X GRADE,2022,AUTOMATIC,SUV / 4X4,HYBRID,1500,15000,18700000
HONDA,VEZEL,Z PREMIUM 2025,2025,AUTOMATIC,SUV / 4X4,HYBRID,1500,0,23000000
HONDA,VEZEL,Z GRADE,2024,AUTOMATIC,SUV / 4X4,HYBRID,1500,9500,18950000
HONDA,VEZEL,Z PLAY PACKAGE,2025,AUTOMATIC,SUV / 4X4,HYBRID,1500,5,23900000
HONDA,VEZEL,X HUNTER,2024,AUTOMATIC,SUV / 4X4,HYBRID,1500,12000,17800000
HONDA,VEZEL,0,2023,AUTOMATIC,SUV / 4X4,HYBRID,1500,14000,16490000
HONDA,FIT,2013,2013,AUTOMATIC,HATCHBACK,HYBRID,1490,137000,7500000
HONDA,VEZEL,0,2025,AUTOMATIC,SUV / 4X4,HYBRID,1500,5,19650000
HONDA,VEZEL,Z GRADE,2025,AUTOMATIC,SUV / 4X4,HYBRID,1500,7,20900000
HONDA,VEZEL,E:HEV Z PACKAGE,2023,AUTOMATIC,SUV / 4X4,HYBRID,1500,8228,18000000
HONDA,GRACE,EX,2016,AUTOMATIC,SALOON,HYBRID,1500,122000,12500000
HONDA,VEZEL,HEV X HUNT PACKAGE,2025,AUTOMATIC,SUV / 4X4,HYBRID,1500,0,18600000
HONDA,VEZEL,Z,2025,AUTOMATIC,SUV / 4X4,HYBRID,1500,5,22000000
HONDA,FIT,GP5,2014,AUTOMATIC,HATCHBACK,HYBRID,1490,123000,8150000
HONDA,VEZEL,Z MUGAN MODIFIED,2024,AUTOMATIC,HATCHBACK,HYBRID,1500,10171,22650000
HONDA,FREED,HONDA,2012,AUTOMATIC,STATION WAGON,HYBRID,1500,170000,9800000
HONDA,VEZEL,Z PREMIUM PLUS 360Â°,2023,AUTOMATIC,SALOON,HYBRID,1500,6500,23600000
HONDA,VEZEL,E:HEV Z PLAY PACKAGE,2024,AUTOMATIC,SUV / 4X4,HYBRID,1500,441,21000000
HONDA,VEZEL,Z PLAYE PACK,2024,AUTOMATIC,SUV / 4X4,HYBRID,1500,2800,25695000
HONDA,INSIGHT,ZE 4,2019,AUTOMATIC,SALOON,HYBRID,1500,87000,20000000
HONDA,VEZEL,E:HEV X HUNT PACKAGE,2024,AUTOMATIC,SUV / 4X4,HYBRID,1500,3,18000000
HONDA,VEZEL,Z GRADE,2024,AUTOMATIC,HATCHBACK,HYBRID,1500,0,22600000
HONDA,VEZEL,Z PLAY PACKAGE ,2024,AUTOMATIC,HATCHBACK,HYBRID,1500,0,23950000
HONDA,VEZEL,Z GRADE,2025,AUTOMATIC,SUV / 4X4,HYBRID,1500,0,21900000
HONDA,VEZEL,Z GRADE PREMIUM,2024,AUTOMATIC,SUV / 4X4,HYBRID,1500,4000,19000000
HONDA,VEZEL,X HUNT BRAND NEW,2025,AUTOMATIC,STATION WAGON,HYBRID,1490,12,20790000
HONDA,VEZEL,Z GRADE,2024,AUTOMATIC,SUV / 4X4,HYBRID,1500,0,20500000
HONDA,VEZEL,RS SENSING,2017,AUTOMATIC,SUV / 4X4,HYBRID,1490,138000,13500000
HONDA,VEZEL,RS SENSING,2019,AUTOMATIC,SUV / 4X4,HYBRID,1496,3500,17500000
HONDA,FIT,S GRADE,2015,AUTOMATIC,HATCHBACK,HYBRID,1500,72000,9400000
HONDA,VEZEL,Z PREMIUM PLUS EDIT,2024,AUTOMATIC,SALOON,HYBRID,1500,2500,23400000
HONDA,GRACE,EX,2017,AUTOMATIC,SALOON,HYBRID,1500,76000,11475000
HONDA,VEZEL,0,2018,AUTOMATIC,0,HYBRID,1500,156000,14500000
HONDA,VEZEL,0,2016,AUTOMATIC,SUV / 4X4,HYBRID,1500,110000,10750000
HONDA,VEZEL,VEZEL PREMIUM,2024,AUTOMATIC,SUV / 4X4,HYBRID,1500,0,23475000
HONDA,GRACE,HONDA,2019,AUTOMATIC,SALOON,HYBRID,1500,85000,13600000
HONDA,VEZEL,RS,2020,AUTOMATIC,SUV / 4X4,HYBRID,1500,49500,17500000
