Post_Link,Posted_Title,Posted_Date,Brand,Model,Grade,Trim / Edition,Year of Manufacture,Condition,Transmission,Body type,Fuel type,Engine capacity,Mileage,Vehicle_Price
https://ikman.lk/en/ad/honda-fit-shuttle-gp2-2013-for-sale-kalutara-19,Honda Fit Shuttle GP2 2013,"Posted on 20 Nov 1:57 pm, Kalutara City, Kalutara",Honda,Fit Shuttle,0,GP2,2013,Used,Automatic,Station wagon,Petrol,"1,330 cc","194,000 km","Rs 9,200,000"
https://ikman.lk/en/ad/honda-vezel-2014-for-sale-colombo-5686,Honda Vezel 2014,"Posted on 20 Nov 1:50 pm, Padukka, Colombo4186views",Honda,Vezel,0,0,2014,Used,Automatic,0,Petrol,"1,500 cc","123,800 km","Rs 9,500,000"
https://ikman.lk/en/ad/honda-fit-gp5-l-2014-for-sale-colombo-4,Honda Fit GP5 L 2014,"Posted on 20 Nov 1:21 pm, Maharagama, Colombo876views",Honda,Fit,0,GP5 L,2014,Used,Automatic,Hatchback,Petrol,"1,490 cc","154,000 km","Rs 7,700,000"
https://ikman.lk/en/ad/honda-n-box-custom-2025-for-sale-colombo-20,Honda N-Box Custom 2025,"Posted on 20 Nov 12:53 pm, Colombo 2, Colombo",Honda,N-Box,0,Custom,2025,Brand New,Automatic,Hatchback,Petrol,660 cc,8 km,"Rs 8,900,000"
https://ikman.lk/en/ad/honda-city-rs-turbo-brand-new-2025-for-sale-colombo-84,Honda City RS Turbo Brand New 2025,"Posted on 20 Nov 12:17 pm, Nugegoda, Colombo1330views",Honda,City,0,RS Turbo Brand New,2025,Brand New,Automatic,Saloon,Petrol,"1,000 cc",0 km,"Rs 13,900,000"
https://ikman.lk/en/ad/honda-city-rs-turbo-brand-new-2025-for-sale-colombo-91,Honda City RS Turbo Brand New 2025,"Posted on 20 Nov 11:55 am, Kohuwala, Colombo",Honda,City,0,RS Turbo Brand New,2025,Brand New,Automatic,Saloon,Petrol,"1,000 cc",0 km,"Rs 14,390,000"
https://ikman.lk/en/ad/honda-n-wgn-custom-2024-for-sale-gampaha-3,Honda N-WGN custom 2024,"Posted on 20 Nov 11:40 am, Ja-Ela, Gampaha",Honda,N-WGN,0,custom,2024,Brand New,Automatic,Hatchback,Petrol,660 cc,0 km,"Rs 8,950,000"
https://ikman.lk/en/ad/honda-n-box-n-box-custom-turbo-2017-for-sale-colombo,Honda N-Box N Box Custom Turbo 2017,"Posted on 21 Nov 8:46 am, Dehiwala, Colombo",Honda,N-Box,0,N Box Custom Turbo,2017,Used,Automatic,Saloon,Petrol,660 cc,"85,000 km","Rs 6,750,000"
https://ikman.lk/en/ad/honda-city-rs-turbo-2025-for-sale-colombo-363,Honda City RS TURBO 2025,"Posted on 20 Nov 11:07 am, Boralesgamuwa, Colombo",Honda,City,0,RS TURBO,2025,Brand New,Automatic,Saloon,Petrol,"1,000 cc",0 km,"Rs 14,390,000"
https://ikman.lk/en/ad/honda-vezel-z-grade-2025-for-sale-galle-27,Honda Vezel Z GRADE 2025,"Posted on 20 Nov 10:57 am, Galle City, Galle66views",Honda,Vezel,0,Z GRADE,2025,Brand New,Automatic,Hatchback,Petrol,"1,500 cc",0 km,"Rs 21,500,000"
https://ikman.lk/en/ad/honda-crv-vtil-7-2025-for-sale-colombo-2,Honda CRV VTIL-7 2025,"Posted on 20 Nov 10:44 am, Kohuwala, Colombo",Honda,CRV,0,VTIL-7 ,2025,Brand New,Automatic,Station wagon,Petrol,"1,500 cc",0 km,"Rs 31,290,000"
