,model,map_model_name
0,CITY,CITY
1,CIVIC,CIVIC
2,GRAND CIVIC,CIVIC
3,CIVIC EK3,CIVIC
4,HONDA CRV,CRV
5,HONDA HRV,HRV
6,CIVIC HYBRID,CIVIC
7,INSIGHT HYBRID,INSIGHT
8,HONDA ACTY,ACTY
9,UA-ESI-CIVIC,CIVIC
10,ACTY LORRY,ACTY
11,INSIGHT,INSIGHT
12,LA-GD8,FIT
13,E-EG8,CIVIC
14,GD-HA6,ACTY
15,DBA-GD8,FIT
16,CIVIC EXI,CIVIC
17,DAA-ZE2,INSIGHT
18,FD3,CIVIC
19,CITY VTEC 4M,CITY
20,DAA-GP1,FIT
21,EG8 CIVIC,CIVIC
22,GD-HH5,ACTY
23,DBA-GD1 FIT,FIT
24,DBA-FD1 CIVIC,CIVIC
25,FIT HYBRID,FIT
26,DAA-GP2 (FIT SHUTTLE),SHUTTLE
27,FIT HYBRID (GP1),FIT
28,GH-CF3-ACCORD,ACCORD
29,FIT DBA-GE6,FIT
30,DAA-GP3,FIT
31,LA-GD1,FIT
32,GBD-HH6,ACTY
33,DAA-GP1 FIT,FIT
34,V-HH4,ACTY
35,DAA-GP4,FIT
36,GBD-HH5,ACTY
37,FREED,FREED
38,DAA ZF1 -CRZ,CRZ
39,DBA-GD6 FIT ARIA,FIT ARIA
40,CITY VTEC 4A,CITY
41,FIT ( SHUTTLE ),SHUTTLE
42,DBA-GD9,FIT
43,CIVIC EG7,CIVIC
44,DAA-GP2,FIT
45,CRX,CIVIC
46,ACCORD EXI,ACCORD
47,DAA-GP3-SPIKE,FREED
48,FIT RS-HYBRID,FIT
49,DAA-ZF2,CRZ
50,DAA-GP5,FIT
51,VEZEL RU3 Z,VEZEL
52,DAA-ZE3,INSIGHT
53,GF-EK2,CIVIC
54,CITY 4M,CITY
55,GF-GH3,HRV
56,DAA-RU4 VEZEL,VEZEL
57,DAA-ZE2-INSIGHT,INSIGHT
58,DAA-GP5 - FIT S HYBRID,FIT
59,V-HH3,ACTY
60,VEZEL HYBRID X GRADE,VEZEL
61,DAA-RU3,VEZEL
62,DAA GP5 FIT - F,FIT
63,CIVIC FERIO ES1,CIVIC
64,DAA-GP5 FIT-L-PKG-HYBRID,FIT
65,RU3,VEZEL
66,VEZEL,VEZEL
67,DAA-GP1 FIT SELECTION,FIT
68,ARIA GD6,FIT
69,DAA-GMA GRACE,GRACE
70,LA-GD6,FIT
71,GRACE,GRACE
72,DAA-GM4,GRACE
73,DAA-FD3,CIVIC
74,V-HA3,ACTY
75,DAA-GM4 GRACE,GRACE
76,DAA GP5 - FIT,FIT
77,GRACE EX,GRACE
78,CRV RD2,CRV
79,UE-HA6 ACTY,ACTY
80,CIVIC VTI 4A,CIVIC
81,FIT GP5,FIT
82,FIT L GRADE,FIT
83,DAA-GP7,SHUTTLE
84,UE-HA7,ACTY
85,E-CB1,ACCORD
86,CUVUC-1300,CIVIC
87,ODYSSEY AUTO,CIVIC
88,DAA-GM3-GRACE,GRACE
89,EF2,CIVIC
90,AIRWAVE,AIRWAVE
91,CIVIC AK,CIVIC
92,CIVIC EX1,CIVIC
93,EGA1 CITY,CITY
94,DAA-CR6,ACCORD
