,model,map_model_name
0,MICRO TREND,TREND
1,KYRON,KYRON
2,PANDA,PANDA
3,PANDA L.C 1.3,PANDA
4,PANDA CROSS,PANDA
5,MX 7 MARK II,MX 7
6,PANDA L.C 1.0,PANDA
7,REXTON270XDI,REXTON
8,PANDA 1.0HI,PANDA
9,PANDA 1.0,PANDA
10,ACTYON SPORTS,ACTYON
11,PANDA LC 1.0 STANDARD,PANDA
12,KYRON 200XDI,KYRON
13,EMGRAND 7,EMGRAND
14,PANDA GB 1.0,PANDA
15,PANDA GB 1.0 STANDARD,PANDA
16,PANDA GS 1.0 STANDARD,PANDA
17,PANDA GL,PANDA
18,PANDA LC 1.0 - COMFORTABLE,PANDA
19,PANDA 1.3GS,PANDA
20,PANDA GS,PANDA
21,PANDA 1.3,PANDA
22,BAIC X25 ELITE 1.5,BAIC
23,TIVOLI,TIVOLI
24,PANDA 1.0 AUTO,PANDA
25,PANDA CROSS 1.0 AUTO,PANDA
26,SSANG YONG TIVOLI DLX HI-SPEC (PETROL),TIVOLI
27,PANDA CROSS 1.0,PANDA
28,SSANG YONG TIVOLI DLX (PETROL),TIVOLI
29,BAIC X25,BAIC
30,TREND,TREND
31,PANDA AUTO,PANDA
32,PANDA AMT,PANDA
33,PANDA CROSS AMT,PANDA
34,BAIC D20 COMFORT 1.5 SEDAN,BAIC
35,PANDA LC 1.0 AMT-COMFORTABLE,PANDA
36,PANDA CROSS 1.3,PANDA
37,PANDA LC 1.0,PANDA
38,PANDA LC 1.3,PANDA
39,ACTYON SPORTS 200XDI,ACTYON
40,REXTON 270 XDI,REXTON
5,MX7 II,MX 7
