,model,map_model_name
0,LANCER,LANCER
1,MONTERO,MONTERO
2,GALANT,GALANT
3,LANCER CB8,LANCER
4,LANCER CK2,LANCER
5,LANCER GL,LANCER
6,GA-PA3V(DELICA),DELICA
7,TC-SK82TM DELICA,DELICA
8,GC-SK82VM DELICA,DELICA
9,E-C62A-LANCER,LANCER
10,L200 DIAMOND DI-D,L200
11,DELICA FREEZEER,DELICA
12,LIBERO CB 1V,LIBERO
13,MIRAGE,MIRAGE
14,DELICA,DELICA
15,DELICA GC-SK82V M,DELICA
16,SHOGUN,SHOGUN
17,LANCER GLX,LANCER
18,RVR -GF -71W,RVR
19,PAJERO IO,PAJERO
20,L200 ANIMAL DI,L200
21,ABF-SK82VM DELICA,DELICA
22,L200 TROJAN,L200
23,MIRAGE CKIA,MIRAGE
24,LANCER CEDIA,LANCER
25,KH4WGRPZR MONTERO,MONTERO
26,L200 WARRIOR,L200
27,STRADA,STRADA
28,CBA-V93W PAJERO,PAJERO
29,ATTRAGE,ATTRAGE
30,CB3A LANCER,LANCER
31,OUTLANDER 2.4L PETROL,OUTLANDER
32,OUTLANDER,OUTLANDER
33,RVR,RVR
34,RVR-N28W,RVR
35,PAJERO,PAJERO
36,OUTLANDER DLA-GG2W,OUTLANDER
37,PAJERO JR,PAJERO
38,OUTLANDER PHEW,OUTLANDER
39,MONTERO 3.2L GLS,MONTERO
40,PO2 DELICA,DELICA
41,OUTLANDER PHEV,OUTLANDER
42,MONTERO V96WLNDFR,MONTERO
43,L200,L200
44,DELICA LO31PV,DELICA
45,MONTERO V98WLYXZSR,MONTERO
46,LANCER E-A172A,LANCER
47,C11A MIRAGE,MIRAGE
48,E-CB3A LANCER,LANCER
49,LANCER C62ASNJR,LANCER
50,J24R,J24
51,KA4TNENMR L200,L200
52,PAJERO L049,PAJERO
53,A03AXTMHR-MIRAGE,MIRAGE
54,KL3TJNHFR SPORTERO,SPORTERO
55,LANCER C12V,LANCER
56,LANCER C12A,LANCER
