,model,map_model_name
0,SUNNY-FB15,SUNNY
1,MARCH,MARCH
2,BLUEBIRD,BLUEBIRD
3,SUNNY FB13,SUNNY
4,SUNNY FB14,SUNNY
5,SUNNY N16,SUNNY
6,SUNNY N17,SUNNY
7,MARCH K11,MARCH
8,MARCH AK12,MARCH
9,AD WAGON LY11,AD WAGON
10,AD WAGON LY12,AD WAGON
11,WINGROAD,WINGROAD
12,X-TRAIL,X-TRAIL
13,CARAVAN VRGE 24,CARAVAN
14,CARAVAN VPE25,CARAVAN
15,VANNET LD20,VANETTE
16,VANNET SK82,VANETTE
17,VANNET SK28,VANETTE
18,SERENA,SERENA
19,LARGO,VANETTE
20,CLIPPER BUDY VAN,CLIPPER
21,PETROL,PATROL
22,SUNNY,SUNNY
23,NAVARA,NAVARA
24,CLIPPER TRUCK,CLIPPER
25,CARAVAN VWGE 25,CARAVAN
26,SUNNY EX SALOON,SUNNY
27,CARAVAN KG-VWGE24,CARAVAN
28,VANETTE KR-SKF2MN,VANETTE
29,TC-SK82VN VANNETE,VANETTE
30,SUNNY CFAN16,SUNNY
31,SK82TN,VANETTE
32,VANETTE GA-SS88HN,VANETTE
33,GC-SK82VN,VANETTE
34,ADF-SKF2VN,VANETTE
35,CARAVAN,CARAVAN
36,GAV AJC23,VANETTE
37,TIIDA,TIIDA
38,VANETTE,VANETTE
39,SS28VN,VANETTE
40,VANETTE KR SKF2LN,VANETTE
41,CARAVAN VWME25,CARAVAN
42,PRIMERA,PRIMERA
43,MARCH DBA-AK12,MARCH
44,MARCH TA-K11,MARCH
45,E-B13-SUNNY,SUNNY
46,AD STATION WAGON,AD WAGON
47,CEFIRO,CEFIRO
48,TA-QGE25,CARAVAN
49,LC-VPE25,CARAVAN
50,KF-SK22VN,VANETTE
51,VVJC23,SERENA
52,ADF-CWMGE25,CARAVAN
53,S-VUJC22,VANETTE
54,VRGE24,CARAVAN
55,TIIDA LATIO,TIIDA
56,KJ-SK22VN,VANETTE
57,GE-VPE25-CARAVAN,CARAVAN
58,UA-FB15,SUNNY
59,KR-VWE25,CARAVAN
60,CARAVAN VX,CARAVAN
61,PRESEA,PRESEA
62,ADF-SKF2LN,VANETTE
63,SAFARI,PATROL
64,VRE24,CARAVAN
65,GBD-U71V,CLIPPER
66,GF-FB15,SUNNY
67,BROWNY-DOUBLE CAB,DOUBLE CAB
68,X-SB13,SUNNY
69,KG-SK22TN,VANETTE
70,SUNNY 1.5A,SUNNY
71,ADF-CWGE25,CARAVAN
72,AD WAGON UB-VY11,AD WAGON
73,GE-SK82MN VANETTE,VANETTE
74,E-B14,SUNNY
75,PULSAR,PULSAR
76,CARAVAN TA-QGE25,CARAVAN
77,PRESEA R10,PRESEA
78,CEFIRO 2308M,CEFIRO
79,CARAVAN VPE24,CARAVAN
80,VANETTE KF-SK22VN,VANETTE
81,E-B12SUNNY,SUNNY
82,CRGE24,CARAVAN
83,G8D-U71V CLIPPER,CLIPPER
84,VUJC22,VANETTE
85,SUNNY Q-5B13,SUNNY
86,KJ-SK22VW VANETTE,VANETTE
87,KJ-SK22VW VANETTE,VANETTE
88,KG-VWGE24,CARAVAN
89,KB-SS28MN,VANETTE
90,BHAB13-SUNNY,SUNNY
91,E-FB12-SUNNY,SUNNY
92,SILPHY TAFG 10,SYLPHY
93,ADF-VWE25-CARAVAN,CARAVAN
94,BCAB 13,SUNNY
95,U-CRGE24,CARAVAN
96,AD WAGON GJ-VFY11,AD WAGON
97,DBA - G11,SYLPHY
98,U-VRGE24,CARAVAN
99,E HB 12 SUNNY,SUNNY
100,DBA-AK12,MARCH
101,ABA-DR17W CLIPPER,CLIPPER
102,SUNNY,SUNNY
103,E-FB14,SUNNY
104,GE-VPE24,CARAVAN
105,GC-SK82TN,VANETTE
106,KF-SK22TN FREEZER,VANETTE
107,CARAVAN VTE24,CARAVAN
108,UVRE24,CARAVAN
109,KB-VVJC23,SERENA
110,WINGROAD TA WFY11,WINGROAD
111,KF-SK22LN,VANETTE
112,KG-CWGE24,CARAVAN
113,BCAB13 SUNNY,SUNNY
114,SUNNY EX SALOON KE-SB15,SUNNY
115,E-FB13-CLOSED,SUNNY
116,VANETTE DBF- VM20,VANETTE
117,R-VY10-SUNNY,SUNNY
118,SUNNY EX,SUNNY
119,KG VWE24,CARAVAN
120,KF-SK22TN,VANETTE
121,N-VRGE24,CARAVAN
122,SUNNY 1.5 M,SUNNY
123,VWMGE24-CARAVAN,CARAVAN
124,E-FN14,PULSAR
125,KG-DWGE25,CARAVAN
126,KG-DWGE24,CARAVAN
127,VUJNC22,VANETTE
128,SUNNY 1.6A,SUNNY
129,AD WAGON,AD WAGON
130,TC-SK82TN,VANETTE
131,E-FB13-SUNNY,SUNNY
132,KR-VWME25,CARAVAN
133,KQ-SKF2VN,VANETTE
134,R11,PRESEA
135,GF-QU14,BLUEBIRD
136,TA-AK11-MARCH,MARCH
137,SU14,BLUEBIRD
138,CBA-AK12,MARCH
139,VENETTE ADF SKF2TFN SINGLE CAB,VANETTE
140,UA-AK12,MARCH
141,VRMGE24,CARAVAN
142,TA-FB15,SUNNY
143,DBA SC11,TIIDA
144,GE-VPGE24,CARAVAN
145,TB- BVFY11,AD WAGON
146,HOMY VRGE24,CARAVAN
147,GA-SE88TN,VANETTE
148,KR-CWGE25-CARAVAN,CARAVAN
149,E-WY10,VANETTE
150,GA-SS88HN,VANETTE
151,SYLPHY TA-FG10,BLUEBIRD
152,SE88TN,VANETTE
153,KC-VRMGE24,CARAVAN
154,E-FN15,PULSAR
155,UA-QG10,BLUEBIRD
156,E-K10,MARCH
157,ARME24,CARAVAN
158,CARAVENE VYE24,CARAVAN
159,UA-WFY11,WINGROAD
160,SB 14,SUNNY
161,2WD DOUBLE CAB,DOUBLE CAB
162,KB-SE28TN,VANETTE
163,GH-K11,MARCH
164,UA-K12,MARCH
165,DRGE24,CARAVAN
166,Q-SN14,PULSAR
167,GC-CQGE25,CARAVAN
168,NAVARA D/C OUTLOW DC,NAVARA
169,VB 11,AD WAGON
170,CARAVAN ADF-CWGE25,CARAVAN
171,BLUEBERD SYLPHY,SYLPHY
172,CARAVAN GX,CARAVAN
173,LEAF ELECTRIC CAR / ZAA-ZEO,LEAF
174,KD-SKF2TN,VANETTE
175,X-TRAIL JEEP,X-TRAIL
176,DOUBLE CAB,DOUBLE CAB
177,BBAB13-SUNNY,SUNNY
178,LE-U71T FREEZER TRUC,CLIPPER
179,KB-SS28VN,VANETTE
180,TRAD SUNNY,SUNNY
181,KR-SKF2VN,VANETTE
182,PRESEA,PRESEA
183,URVAN E26,CARAVAN
184,GA15 SUNNY,SUNNY
185,KD-KRGE24,CARAVAN
186,S-VSB11 (WAGON),AD WAGON
187,ZAA -ZEO-LEAF,LEAF
188,TC-SK82MN,VANETTE
189,HBD-DR64V,CLIPPER
190,CBF-VRE25,CARAVAN
191,ZAA-AZE0 LEAF,LEAF
192,DX-VY10,AD WAGON
193,LEAF ELECTRIC,LEAF
194,U71V,CLIPPER
195,FB12-SUNNY,SUNNY
196,LDF-CWGE25-DX,CARAVAN
197,NV350 CARAVAN LDF-VW2E26,CARAVAN
198,B14 SUNNY,SUNNY
199,B13 SUNNY,SUNNY
200,E-FB12-SUNNY,SUNNY
201,LDF VWE25-CARAVAN DX,CARAVAN
202,LDF-VW6E26,CARAVAN
203,LDF-VW2E26,CARAVAN
204,EBD-U71V,CLIPPER
205,U-VRMGE 24,CARAVAN
206,LDF-VWE25,CARAVAN
207,LEAF ACCENTA,LEAF
208,VANETTE HALF BODY,VANETTE
209,DAA-HT32 X-TRAIL,X-TRAIL
210,VJGE 24 URVAN,CARAVAN
211,CBF-VR2E26 CARAVAN,CARAVAN
212,EBD-DR64V,CLIPPER
213,BLUE BIRD TA-FG10,BLUEBIRD
214,CBA-FG10,BLUEBIRD
215,U71T,CLIPPER
216,GBD-U71T,CLIPPER
217,CARAVAN NV 350,CARAVAN
218,LEAF X,LEAF
219,KG-SK22VN,VANETTE
220,ZZA-AZE0,LEAF
221,BCA3-SUNNY,SUNNY
222,DAA-HNT32,X-TRAIL
223,TEANA 250XL,TEANA
224,DBA-B21W DAYZ HIGHWAY STAR,DAYZ
225,TA-NT30 JEEP,X-TRAIL
226,GBD-U72V,CLIPPER
227,LEAF G,LEAF
228,GBD-U71T CLIPPER (FREEZER),CLIPPER
229,TA-FG10,BLUEBIRD
230,GE-CQGE25,CARAVAN
231,NAVARA AVENTURA,NAVARA
232,E-HB12 LAWREL,SUNNY
233,N-VYE24,CARAVAN
234,UA-J31,TEANA
235,VYGE23,CARAVAN
236,KG-VWE25,CARAVAN
237,TA-TP12,PRIMERA
238,N-VUGJC22,VANETTE
239,N-VYGE24,CARAVAN
240,DAA-HFC26,SERENA
241,HBD-DR17V,CLIPPER
242,CALIFORNIA,SUNNY
243,DR17V CLIPPER,CLIPPER
244,UA-TP12,PRIMERA
245,LFMD22 DOUBLE CAB,DOUBLE CAB
246,NV100 CLIPPER,NV100
247,HB12,SUNNY
248,HRB-DR17V,CLIPPER
249,DBA-NT32,X-TRAIL
250,GBD - U71T CLIPPER,CLIPPER
251,GBD-U71V NV100 CLIPPER,NV100
252,GF-B15,SUNNY
253,E-WHB12CALIFONI,SUNNY
254,SUNNY SUPER SALOON,SUNNY
255,Y KRMGE2,CARAVAN
256,SUNNY B11,SUNNY
257,DBF-VM20-NV200,VANETTE
258,TA-WFY11,WINGROAD
259,LDF-VW25E26,CARAVAN
260,NV 200 VANETTE,VANETTE
261,E-WFB12,SUNNY
262,CLIPPER,CLIPPER
263,X-TRAIL TA-NT30,X-TRAIL
264,EBD-DR16T,CLIPPER
265,BHN13 SUNNY,SUNNY
266,MARCH (GH-K11),MARCH
267,SUNNY VB11,SUNNY
268,DBA-SC11 TIIDA,TIIDA
