,model,map_model_name
0,ALTO - JAPAN,ALTO
1,ALTO,ALTO
2,ALTO - INDIAN,ALTO LXI
3,800C,MARUTI
4,SWIFT,SWIFT
5,ZEN,ZEN
6,MARUTI 800,MARUTI
7,WAGON R,WAGON R
8,ESCUDO,VITARA
9,ESTILO,ESTILO
10,A-STAR,A-STAR
11,EVERY,EVERY
12,OMINI,MARUTI
13,JOINT,EVERY
14,WAGON R,WAGON R
15,ALTO LXI SPORTZ,ALTO
16,A-STAR VXI,MARUTI
17,ALTO K10,ALTO
18,SUZUKI A-STAR,A-STAR
19,A- STAR,A-STAR
20,SWIFT VXI,SWIFT
21,ZEN ESTILO,ESTILO
22,800,MARUTI
23,SWIFT INDIAN,SWIFT
24,ALTO K10 VXI,ALTO K10
25,MARUTI VAN,MARUTI
26,SPORTZ,SWIFT
27,OMINI 800,MARUTI
28,SPECIAL EDITION ALTO LXI,ALTO LXI
29,ALTO LXI 800CC,ALTO LXI
30,MARUTI ALTO LXI,ALTO LXI
31,ZEN-ESTILO VXI,ESTILO
32,ALTO K10-VXI,ALTO K10
33,SB308-IN,MARUTI
34,HE21S,ALTO
35,SWIFT ZXI,SWIFT
36,IGNIS 1.3A,MARUTI
37,LA HA23S,ALTO
38,WAGON R VXI,WAGON R
39,ALTO - K10,ALTO K10
40,LA-HT51S,SWIFT
41,SUZUKI OMNI,MARUTI
42,DBA ZC71S,SWIFT
43,SWIFT DZIRE VXI,SWIFT
44,ESTEEM VXI,MARUTI
45,EVERY EBD-DA64V,EVERY
46,MARUTI 410,MARUTI
47,EVERY GD-DA52V,EVERY
48,ZENVXI,MARUTI
49,DBA-HA25S,ALTO
50,ALTO VXI,ALTO
51,WAGON VXI,WAGON R
52,LIANA,LIANA
53,RITZ VXI,MARUTI
54,MARUTI 800 ULTIMATE,MARUTI
55,SUZUKI SWIFT,SWIFT
56,ZEN ESTILO,ESTILO
57,UA-HT51S,SWIFT
58,LE-DA62V,EVERY
59,GYPSY S/T,MARUTI
60,DBA-HA24S ALTO,ALTO
61,GRAND VITARA,GRAND VITARA
62,SJ41-IN,JIMNY
63,LA-HA238,ALTO
64,SWIFT DZIRE ZXI,SWIFT
65,DBA-ZC11S,SWIFT
66,SWIFT,SWIFT
67,EBD -DA64V,EVERY
68,A - STAR- 2XI,A STAR
69,CBA-HA 24 S,ALTO
70,SB305R,ALTO
71,EVERY LE-DA62V,EVERY
72,ALTO LXI,ALTO LXI
73,SB308,ALTO
74,ALTO LXI-800,ALTO LXI
