,model,map_model_name
0,HIACE,HIACE
1,AXIO,AXIO
2,COROLLA AE 121,COROLLA
3,CORROLLA AE 110,COROLLA
4,CORROLLA AE 100,COROLLA
5,CORROLLA AE 91,COROLLA
6,CORROLLA AE 106,COROLLA
7,CARENA AE180,CARINA
8,CARENA AE192,CARINA
9,CARENA AE212,CARINA
10,PASSO,PASSO
11,CORONA AE180,CORONA
12,CORONA AE192,CORONA
13,CORONA AE212,CORONA
14,STARLET EP91,STARLET
15,STARLET EP82,STARLET
16,DOUET,DUET
17,PRADO,LAND CRUISER
18,LAND CRUISER,LAND CRUISER
19,VITZ,VITZ
20,HIACE LH61,HIACE
21,HIACE LH113,HIACE LH113
22,HIACE LH172,HIACE
23,CR 26,TOWNACE
24,CR 27,TOWNACE
25,CR 41,NOAH
26,KR 41,NOAH
27,CR 42,NOAH
28,KR 42,NOAH
29,NOHA,NOAH
30,BELTA,BELTA
31,LAND CRUISER,LAND CRUISER
32,HILUX LN 106,HILUX
33,HILUX LN 107,HILUX
34,HILUX LN 141,HILUX
35,LH70B,HIACE
36,VIGO,HILUX VIGO
37,HIACE LH 73,HIACE
38,HIACE LH 123,HIACE
39,HIACE LH 182,HIACE
40,COASTER BUS,COASTER
41,TOWNACE,TOWNACE
42,DBA-LA300A PIXIS,PIXIS
43,TOYOACE,TOYOACE
44,ALLION,ALLION
45,VIOS,VIOS
46,UA-NCP60,IST
47,AXIO X DBA-NZE141,AXIO
48,DG-RZH125B,HIACE
49,YARIS,YARIS
50,BELTA DBA-SCP92,BELTA
51,KC-LH129V,HIACE
52,KB-CR51V,TOWNACE
53,AVANZA,AVANZA
54,REGIUS ACE,HIACE
55,COROLLA X TA-NZE120,COROLLA
56,ALLION UA-NZT240,ALLION
57,COROLLA XL I,COROLLA
58,DBA-KSP92,BELTA
59,COROLLA X AXIO,AXIO
60,DBA-NZT260-PREMIO,PREMIO
61,KR-KDH200V,BELTA
62,HILUX SSR X,HILUX
63,LITEACE,LITEACE
64,HILUX,HILUX
65,RAV 4,SUV
66,PREMIO,PREMIO
67,EE 101,COROLLA
68,HILUX VIGO G,HILUX
69,KG-LY132,DYNA
70,DYNA 150D,DYNA
71,CAREENA,CARINA
72,DYNA,DYNA
73,DBA-KGC10 PASSO,PASSO
74,DAA-ZVW30,PRIUS
75,DBA-NZE-141,AXIO
76,UA-NZT240,ALLION
77,ADF-KDH 201V HIACE,HIACE
78,UA-NZE127,COROLLA
79,COROLLA 1.5A,COROLLA
80,KR-KDH200K,HIACE
81,REGIUS ACE DX,HIACE
82,COROLLA UA-NZE121,COROLLA
83,COROLLA,COROLLA
84,GC-KM75,TOWNACE
85,DBA-KSP130,VITZ
86,FORTUNER,FORTUNER
87,CAMRY,CAMRY
88,SOLUNA,SOLUNA
89,TA-NZE121,COROLLA
90,LEXUX RX300,SUV
91,DAA MHU38W,HARRIER
92,HILUX VIGO G CHAMP,HILUX
93,GE-RZH112K,HIACE
94,IST DBA-NCP60,IST
95,TOWN ACE-DX,TOWNACE
96,GF-AT210,CORONA
97,KR-KDH2000V REGIUS AC,HIACE
98,RUSH F800RE GQGF,RUSH
99,HIACE LH 70 B,HIACE
100,COROLLA-EE96V,COROLLA
101,DBA-NRE160 AXIO,AXIO
102,DAA-AVU65W HARRIER,HARRIER
103,TANK GS,TANK
104,KB-CR41V,TOWNACE
105,HILUX 2WD,HILUX
106,PIXIS EPOCH,PIXIS
107,KC-LY131-CREW CAB,DYNA
108,DBA-M910A ROOMY,ROOMY
109,DBA-KSP130 AHXNK,VITZ
110,HILUX HL 3 DOUBLE CAB,HILUX
111,CLOSED AT150,CORONA
112,E-EP82,STARLET
113,CRUISER,LAND CRUISER
114,GF-SCP10,VITZ
115,NSP152R-AEXRKT,VIOS
116,MS135R-CROWN,CROWN
117,KG-LY230,DYNA
118,COROLLA 1.6,COROLLA
119,COROLLA 2,COROLLA
120,STARLET,STARLET
121,KJ-CR42V TOWN ACE,TOWNACE
122,CE90 COROLLA,COROLLA
123,AT192 CARINA,CARINA
124,HILUX HL3D-4 D4*4 DCB,HILUX
125,KR-KDH200V REGLACE,HIACE
126,GF-MCU10W,HARRIER
127,DAA-NHP10 AQUA HYBRID,AQUA
128,QDF-KDH201 K HIACE,HIACE
129,280 D-4D 95 EWB PANEL VAN,HIACE
130,LH113,HIACE
131,DBA-NZE161 AXIO,AXIO
132,KR-KDH20,HIACE
133,LJ 78,LAND CRUISER
134,CBA-NZT240,ALLION
135,TOWNACE-KB CR41V,TOWNACE
136,CBA-TRJ120W,LAND CRUISER
137,CORONA AT190,CORONA
138,U LH102,HIACE
139,TERCLE,TERCEL
140,XZB70R-ZEPSYQ,COASTER
141,KE74 COROLLA,COROLLA
142,DBA-M900A ROOMY CUSTOM GS,ROOMY
143,DAA-ZWR80G VOXY,VOXY
144,LH61V,HIACE
145,HILUX-DOUBLE,HILUX
146,DAA-NHW20 HYBRID,PRIUS
147,SPRINTER-EE80,SPRINTER
148,KD-KZN185W-SURF JEEP,HILUX
149,E-AT170-CORONA,CORONA
150,PLATZ,PLATZ
151,CBAUR1202W LANDCRUISE,LAND CRUISER
152,SOLUNA GLI M,SOLUNA
153,5BA-LA350A,PIXIS
154,CBA-ACU35W HARRIER,HARRIER
155,5BA-A200A RAIZE,RAIZE
156,QDF-GDH201V,HIACE
157,5BA-A200A,RAIZE
158,C-HR KOBA,CHR
159,M700A,PASSO
160,LH 125,HIACE
161,HILUX VIGO,HILUX
162,CBA-URJ202W LAND CRU,LAND CRUISER
163,DA-NHP10 AQUA,AQUA
164,URJ202W LAND CRUISER,LAND CRUISER
165,GF-RZNI85W,HILUX
166,CBA-URJ202W LAND CRUISER,LAND CRUISER
167,RAIZE,RAIZE
168,COMMUTER KDH222R,HIACE
169,BDG-XZB51,COASTER
170,CORSA,CORSA
171,RUSH,RUSH
172,E-SX80,MARK
173,COROSA,CORSA
174,DAA,AQUA
175,DBA-ZRR70W,VOXY
176,DA-ZVW30,PRIUS
177,DBA-NRE160 COROLLA,COROLLA
178,DAA-AZK10 SAI,SAI
179,QDG-GDH201V,HIACE
180,CBF-TRH200V HIACE GL,HIACE
181,AE100-SPRINTER,SPRINTER
182,GUN125R-DTFLH(ND),HILUX
183,HIACE KDH22R-LEMDYT,HIACE
184,SPRINTER,SPRINTER
185,JT111,LAND CRUISER
186,DBA-M900A-BGBGE-S,TANK
187,DAA-AWS210(CROWN),CROWN
188,DBA-NRE161,AXIO
189,DBA-M900S,TANK
190,HIACE-U-LH119V,HIACE
191,S CM36V,LITEACE
192,CBA-NZE121 COROLLA,COROLLA
193,DBA-ACA36W,RAV4
194,GF-AT211,PREMIO
195,CBF-TRH200K HIACE,HIACE
196,TOWN ACE,TOWNACE
197,SSRX DOUBLE CAB,PREMIO
198,HILUX HL3D-4D4X4DCB,HILUX
199,COROLLA EL41,COROLLA
200,KD-KZH116G,HIACE
201,PRIUS DAA-ZVW30,PRIUS
202,SPRINTER-AE91,SPRINTER
203,KE-CE121,COROLLA
204,CM 36,LITEACE
205,DBF-S402U TOWN ACE,TOWNACE
206,CHR,CHR
207,SDG-XZB50,COASTER
208,EE 101 SPRINER,SPRINTER
209,CBF-TRH200,HIACE
210,DBA-KSP90,VITZ
211,KDH202R RDMNYE AI,HIACE
212,HIACE KDH202R,HIACE
213,COROLLA TA-ZZE122,COROLLA
214,DAA-AVV50 CAMRY,CAMRY
215,KR-KDH60 REGIUS,HIACE
216,GK-KR42V TOWNACE,TOWNACE
217,EE111,COROLLA
218,DBA-LA350A PIXIS,PIXIS
219,KK-XZU306,DYNA
220,ACA33R-ANPGKQ RAV4,RAV4
221,QDF-GDH201V/HIACE,HIACE
222,BA-KSP90,VITZ
223,DAA-ZVW1629 PRIUS,PRIUS
224,HIACE280 D-4D95 SWB,HIACE
225,EE90-COROLLA,COROLLA
226,HIACE KDH223R-LEMDYT,HIACE
227,CBA-ACU30W HARRIER,HARRIER
228,CBA-URJ202W CRUISER,LAND CRUISER
229,KR-KDH222B,HIACE
230,DBA-L575A PIXIS,PIXIS
231,HIACE-KC-LH113V,HIACE
232,HILUX HL 3D-4D,HILUX
233,TA-ACA21W JEEP,RAV4
234,GC-KR42V,TOWNACE
235,CBA-TRJ150W PRADO,LAND CRUISER
236,KR-KDH200K HIACE,HIACE
237,CAMI,CAMI
238,KR-KDH200 V SRPDY,HIACE
239,E-SXA11 RAV 4,RAV4
240,CARINA AT192,CARINA
241,TKG-XZU645 DYNA,DYNA
242,TA-NCP12,PLATZ
243,HIACE SUPER GL,HIACE
244,HZJ80R JEEP,LAND CRUISER
245,DBA-NZT260 ALLION,ALLION
246,COROLLA KE27,COROLLA
247,LH103R-RRMRS,HIACE
248,E EE101,COROLLA
249,AE100 MARINO,SPRINTER
250,HIACE-KC-LH103V,HIACE
251,HIACE GL LH 113V,HIACE
252,CBA-TRJ150W-LAND CRU,LAND CRUISER
253,S-CE106V,COROLLA
254,NCP92R-BEPRK YARIS,YARIS
255,NLH61V,HIACE
256,DBA-NGX50C-HR,CHR
257,DAA-ZVW30 PRIUS L GRADE,PRIUS
258,DAA-ZVW30 PRIUS G GRADE,PRIUS
259,DAA-ZVW30 PRIUS S GRADE,PRIUS
260,DAA-ZVW30 PRIUS G TOURUING,PRIUS
261,DAA-ZVW30 PRIUS S TOURUING,PRIUS
262,DAA-ZVW30 PRIUS G SPORT,PRIUS
263,AXIO(DAA-NKE165) HYBRID-NEW FACE,AXIO
264,AXIO G-NEW FACE,AXIO
265,AXIO X-NEW FACE,AXIO
266,E-AT170 CARINA,CARINA
267,KR-KDH220V,HIACE
268,HARRIER-GF-SXU15W,HARRIER
269,DBA-SCP90 VITZ,VITZ
270,KG-LH 186B,HIACE
271,ELSOR-AEMDS,TERCEL
272,CBA NZE-121,COROLLA
273,REGIUS ACE GL,HIACE
274,GC-KR42,TOWNACE
275,DAA-MHU38W HARRIER,HARRIER
276,LEXUS HARRIER,HARRIER
277,5BA-A210A RAIZE,RAIZE
278,E-EP71,STARLET
279,CBA NZT240,ALLION
280,DBA-SCP92 BELTA,BELTA
281,EE100-COROLLA,COROLLA
282,KR-KDH200V SUPER GL,HIACE
283,E-EL30-COROLLA,COROLLA
284,KR-KDY230 DYNA,DYNA
285,KG-LH,HIACE
286,DAB-NZE141 AXIO,AXIO
287,E-ST190 CORONA,CORONA
288,EP91,STARLET
289,TERCEL EL41,TERCEL
290,PRIUS DAA 2V1530,PRIUS
291,5-CE106V WAGON,COROLLA
