date_posted,brand,model,Trim / Edition,year,Transmission,Body type,fuel_type,Engine capacity,mileage_km,vehicle_price
2025-11-04,TOYOTA,YARIS,X,2024,AUTOMATIC,HATCHBACK,PETROL,1000,0,10100000
2025-11-17,TOYOTA,YARIS,X GRADE,2023,AUTOMATIC,HATCHBACK,PETROL,1000,11000,9975000
2025-11-05,TOYOTA,AXIO,X LIMITED,2008,AUTOMATIC,SALOON,PETROL,1500,185000,7550000
2025-11-04,TOYOTA,PASSO,0,2008,AUTOMATIC,HATCHBACK,PETROL,990,154000,5390000
2025-11-10,TOYOTA,YARIS,YARIS G 2024,2024,AUTOMATIC,HATCHBACK,PETROL,999,3000,11200000
2025-11-09,TOYOTA,ROOMY,GT CUSTOM ,2024,AUTOMATIC,HATCHBACK,PETROL,990,400,11900000
2025-11-04,TOYOTA,COROLLA,LX (HIGHEST GRADE),2008,AUTOMATIC,SALOON,PETROL,1600,173000,6900000
2025-11-04,TOYOTA,RAIZE,Z-GRADE,2022,AUTOMATIC,HATCHBACK,PETROL,1200,18000,13950000
2025-11-04,TOYOTA,PREMIO,0,2018,AUTOMATIC,SALOON,PETROL,1490,37000,16450000
2025-11-11,TOYOTA,LAND CRUISER PRADO,0,2015,AUTOMATIC,SUV / 4X4,PETROL,2700,178000,38000000
2025-11-04,TOYOTA,AXIO,X-GRADE,2007,AUTOMATIC,SALOON,PETROL,1500,155000,6800000
2025-11-04,TOYOTA,FIELDER,WHITE / BLACK,2014,AUTOMATIC,STATION WAGON,PETROL,1490,107341,9600000
2025-11-18,TOYOTA,TAISOR,V GRADE,2025,AUTOMATIC,0,PETROL,1000,0,11200000
2025-11-04,TOYOTA,ROOMY,ROOMY SAFETY UNREGIS,2023,AUTOMATIC,HATCHBACK,PETROL,1000,35000,8750000
2025-11-04,TOYOTA,ROOMY,ROOMY SAFETY UNREGIS,2023,AUTOMATIC,HATCHBACK,PETROL,1000,61000,8790000
2025-11-19,TOYOTA,WIGO,G ,2018,AUTOMATIC,HATCHBACK,PETROL,1000,46000,6900000
2025-11-04,TOYOTA,AXIO,HYBRID,2015,AUTOMATIC,SALOON,PETROL,1490,78500,10500000
2025-11-03,TOYOTA,RAIZE,Z GRADE FULL OPTION,2025,AUTOMATIC,SUV / 4X4,PETROL,1000,3000,12450000
2025-11-03,TOYOTA,RAIZE,1.2L Z GRADE ,2023,AUTOMATIC,SUV / 4X4,PETROL,1200,11200,13850000
2025-11-05,TOYOTA,ALLION,0,2011,AUTOMATIC,SALOON,PETROL,1500,137000,11000000
2025-11-03,TOYOTA,YARIS,SEDAN,2012,AUTOMATIC,SALOON,PETROL,1300,207000,7800000
2025-11-07,TOYOTA,AQUA,XURBAN,2015,AUTOMATIC,HATCHBACK,PETROL,1500,170000,8450000
2025-11-03,TOYOTA,ROOMY,ROOMY CUSTOM G,2025,AUTOMATIC,HATCHBACK,PETROL,1000,0,11850000
2025-11-20,TOYOTA,VITZ,EDITION 3,2019,AUTOMATIC,HATCHBACK,PETROL,990,70500,8800000
2025-11-03,TOYOTA,RUSH,0,2009,AUTOMATIC,SUV / 4X4,PETROL,1490,235000,7600000
2025-11-04,TOYOTA,COROLLA,2000,2000,AUTOMATIC,SALOON,PETROL,1300,176000,4800000
2025-11-04,TOYOTA,PASSO,MODA CHARM,2023,AUTOMATIC,0,PETROL,1000,8099,9350000
2025-11-12,TOYOTA,PRIUS,3RD GEN,2012,AUTOMATIC,0,PETROL,1800,234000,9700000
2025-11-03,TOYOTA,PREMIO,TOYOTA PREMIO -2019,2019,AUTOMATIC,SALOON,PETROL,1496,99000,17950000
2025-11-03,TOYOTA,ROOMY,CUSTOM GT TURBO ,2023,AUTOMATIC,HATCHBACK,PETROL,1000,7500,12300000
2025-11-04,TOYOTA,VITZ,0,2001,AUTOMATIC,HATCHBACK,PETROL,1000,190000,4125000
2025-11-03,TOYOTA,YARIS,ATIV,2025,AUTOMATIC,SALOON,PETROL,1500,0,17500000
2025-11-03,TOYOTA,VITZ,0,2010,AUTOMATIC,HATCHBACK,PETROL,1000,62500,5950000
2025-11-03,TOYOTA,YARIS,X UNREGISTER 2024,2024,AUTOMATIC,HATCHBACK,PETROL,1000,25000,10000000
2025-11-03,TOYOTA,COROLLA,141,2008,AUTOMATIC,SALOON,PETROL,1598,119267,6990000
2025-11-19,TOYOTA,TAISOR,URBAN CRUISER ,2025,AUTOMATIC,SUV / 4X4,PETROL,1000,0,11650000
