,brand,model,Trim / Edition,year,Transmission,Body type,fuel_type,Engine capacity,Mileage,vehicle_price,COMBINED
0,HONDA,CITY,RS SEDAN 1.0,2025,AUTOMATIC,SALOON,PETROL,1000,0,16000000,CITY RS SEDAN 1.0
1,HONDA,VEZEL,Z GRADE,2025,AUTOMATIC,SUV / 4X4,PETROL,1500,5,16590000,VEZEL Z GRADE
2,HONDA,FIT SHUTTLE,FIT SHUTTLE,2012,AUTOMATIC,STATION WAGON,PETROL,1330,149640,8875000,FIT SHUTTLE FIT SHUTTLE
3,HONDA,CRV,VTIL-7 AUSTRALIAN,2024,AUTOMATIC,STATION WAGON,PETROL,1500,16,29990000,CRV VTIL-7 AUSTRALIAN
4,HONDA,CIVIC,EK3,1996,AUTOMATIC,HATCHBACK,PETROL,1500,177000,3495000,CIVIC EK3
5,HONDA,CRV,VTIL-7 AUSTRALIAN,2024,AUTOMATIC,STATION WAGON,PETROL,1500,23,29990000,CRV VTIL-7 AUSTRALIAN
6,HONDA,CRV,FULLY LOADED,2012,AUTOMATIC,SUV / 4X4,PETROL,2350,170000,11975000,CRV FULLY LOADED
7,HONDA,CRV,0,2018,AUTOMATIC,0,PETROL,1500,83000,22250000,CRV 0
8,HONDA,CRV,5 SEATER,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,75000,21450000,CRV 5 SEATER
9,HONDA,CRV,RE4,2010,AUTOMATIC,SUV / 4X4,PETROL,2350,91000,11050000,CRV RE4
10,HONDA,CIVIC,EX SUNROOF,2018,AUTOMATIC,HATCHBACK,PETROL,1000,59000,12900000,CIVIC EX SUNROOF
11,HONDA,VEZEL,"HYBRID X, DAA-RU3",2014,AUTOMATIC,SUV / 4X4,PETROL,1490,126000,10000000,"VEZEL HYBRID X, DAA-RU3"
12,HONDA,CRV,LIMITED EDITION,2000,AUTOMATIC,SUV / 4X4,PETROL,1950,210000,4790000,CRV LIMITED EDITION
13,HONDA,S660,CONVERTIBLE ,2015,AUTOMATIC,CONVERTIBLE,PETROL,650,36200,6890000,S660 CONVERTIBLE
14,HONDA,N-BOX,2024,2024,AUTOMATIC,HATCHBACK,PETROL,660,10,8500000,N-BOX 2024
15,HONDA,N-BOX,CUSTOM TURBO,2015,AUTOMATIC,HATCHBACK,PETROL,650,76000,6250000,N-BOX CUSTOM TURBO
16,HONDA,VEZEL,0,2015,AUTOMATIC,STATION WAGON,PETROL,1490,130000,10500000,VEZEL 0
17,HONDA,FIT,0,2014,AUTOMATIC,HATCHBACK,PETROL,1490,82000,8890000,FIT 0
18,HONDA,CRV,HONDA,2024,AUTOMATIC,SUV / 4X4,PETROL,1500,0,27000000,CRV HONDA
19,HONDA,CIVIC,SR,2018,AUTOMATIC,HATCHBACK,PETROL,1000,78000,13950000,CIVIC SR
20,HONDA,VEZEL,Z GRADE ORANGE,2014,AUTOMATIC,HATCHBACK,PETROL,1500,110000,10595000,VEZEL Z GRADE ORANGE
21,HONDA,CRV,MASTERPICES JAPAN ,2018,AUTOMATIC,SUV / 4X4,PETROL,1490,96000,25550000,CRV MASTERPICES JAPAN
22,HONDA,CRV,2.0L,2013,AUTOMATIC,SUV / 4X4,PETROL,2000,145000,12590000,CRV 2.0L
